城市,区县,乡镇,行政村,long,lat
上海市,闵行区,莘庄镇,莘北村,121.366895,31.115194
上海市,闵行区,莘庄镇,青春村,121.372259,31.104225
上海市,闵行区,七宝镇,七宝村,121.352447,31.144215
上海市,闵行区,莘庄镇,莘东村,121.398211,31.121523
上海市,闵行区,七宝镇,中华村,121.354411,31.139659
上海市,闵行区,七宝镇,九星村,121.379782,31.155576
上海市,闵行区,七宝镇,联明村,121.349886,31.145774
上海市,闵行区,七宝镇,沪星村,121.335178,31.168398
上海市,闵行区,七宝镇,友谊村,121.362398,31.145851
上海市,闵行区,七宝镇,新龙村,121.351389,31.169687
上海市,闵行区,七宝镇,红明村,121.377297,31.165038
上海市,闵行区,华漕镇,许浦村,121.344134,31.230792
上海市,闵行区,华漕镇,杨家巷村,121.30972,31.232262
上海市,闵行区,华漕镇,华漕村,121.328149,31.230007
上海市,闵行区,华漕镇,诸翟村,121.300924,31.212065
上海市,闵行区,华漕镇,王泥浜村,121.320055,31.23197
上海市,闵行区,华漕镇,石皮弄村,121.273517,31.211024
上海市,闵行区,华漕镇,朱家泾村,121.290744,31.223573
上海市,闵行区,华漕镇,肖王庙村,121.284718,31.215447
上海市,闵行区,华漕镇,陈家角村,121.294218,31.227536
上海市,闵行区,华漕镇,红卫村,121.284841,31.233788
上海市,闵行区,华漕镇,纪王村,121.275372,31.247138
上海市,闵行区,华漕镇,纪西村,121.268315,31.240544
上海市,闵行区,华漕镇,纪东村,121.28414,31.251881
上海市,闵行区,华漕镇,赵家村,121.266859,31.253805
上海市,闵行区,华漕镇,鹫山村,121.256897,31.248703
上海市,闵行区,华漕镇,卫星村,121.275832,31.234651
上海市,闵行区,虹桥镇,虹二村,121.409983,31.191341
上海市,闵行区,梅陇镇,集心忖,121.420425,31.12084
上海市,闵行区,梅陇镇,曹行村,121.447841,31.09794
上海市,闵行区,颛桥镇,集体村,121.404814,31.062985
上海市,闵行区,颛桥镇,光明村,121.431273,31.052483
上海市,闵行区,颛桥镇,向阳村,121.426013,31.074514
上海市,闵行区,颛桥镇,光辉村,121.42278,31.086258
上海市,闵行区,马桥镇,旗忠村,121.355274,31.063871
上海市,闵行区,马桥镇,元祥居委,121.383517,31.043283
上海市,闵行区,浦江镇,永丰村,121.508002,31.015908
上海市,闵行区,浦江镇,北徐村,121.539342,31.042431
上海市,闵行区,浦江镇,新风村,121.555877,31.04525
上海市,闵行区,浦江镇,汇东村,121.571235,31.024527
上海市,闵行区,浦江镇,汇红村,121.550605,31.025198
上海市,闵行区,浦江镇,汇南村,121.567101,31.010828
上海市,闵行区,虹桥镇,万源新城,121.391194,31.176682
上海市,闵行区,浦江镇,光继村,121.540926,31.008689
上海市,闵行区,浦江镇,联星村,121.557371,31.100093
上海市,闵行区,浦江镇,镇北村,121.55165,31.088693
上海市,闵行区,浦江镇,联胜村,121.547323,31.081101
上海市,闵行区,浦江镇,革新村,121.562029,31.084329
上海市,闵行区,浦江镇,万里村,121.548011,31.08179
